protein_A_id	protein_B_id	type	context	references
uniprotkb:Q13085	ChEBI:29035	physical association	reactome:R-HSA-8876883	24243840
ChEBI:29035	uniprotkb:O00763	physical association	reactome:R-HSA-8867341	24243840
uniprotkb:O00763	ChEBI:29035	physical association	reactome:R-HSA-8876893	15060529
uniprotkb:P08123	uniprotkb:P02452	physical association	reactome:R-HSA-2428940	24243840
uniprotkb:P08123	uniprotkb:P02452	physical association	reactome:R-HSA-2396055	5246001|41816
uniprotkb:P02452	uniprotkb:P08123	physical association	reactome:R-HSA-2396311	24243840
uniprotkb:P08123	uniprotkb:P02452	physical association	reactome:R-HSA-2396360	24243840
uniprotkb:P08123	uniprotkb:P02452	physical association	reactome:R-HSA-2396116	24243840
uniprotkb:P02452	uniprotkb:P08123	physical association	reactome:R-HSA-2396205	24243840
uniprotkb:P02452	uniprotkb:P08123	physical association	reactome:R-HSA-2396105	24243840
uniprotkb:P02452	uniprotkb:P08123	physical association	reactome:R-HSA-2396231	24243840
uniprotkb:Q15768	uniprotkb:P98172	physical association	reactome:R-HSA-9028356	24243840
uniprotkb:P63261	uniprotkb:P60709	physical association	reactome:R-HSA-201877	12082080|10207622
uniprotkb:P01834	uniprotkb:P12319	physical association	reactome:R-HSA-2685660	24243840
uniprotkb:Q7Z3Y9	uniprotkb:Q7Z3Z0	physical association	reactome:R-HSA-6814323	7543090
uniprotkb:P01242	uniprotkb:P01241	physical association	reactome:R-HSA-982799	
uniprotkb:P11142	uniprotkb:P07900	physical association	reactome:R-HSA-9626247	18644871
uniprotkb:Q7Z3Y9	uniprotkb:Q7Z3Y8	physical association	reactome:R-HSA-6809669	9468612
uniprotkb:Q7Z3Y7	uniprotkb:Q7Z3Y9	physical association	reactome:R-HSA-6809668	15373777
uniprotkb:Q7Z3Y7	uniprotkb:Q7Z3Y9	physical association	reactome:R-HSA-8847708	24243840
uniprotkb:Q7Z3Y7	uniprotkb:Q7Z3Z0	physical association	reactome:R-HSA-6814760	24243840
uniprotkb:Q7Z3Y9	uniprotkb:Q7Z3Y8	physical association	reactome:R-HSA-8848101	16382671|1714783|25208914
uniprotkb:P07900	uniprotkb:P13473	physical association	reactome:R-HSA-9626026	20797626
uniprotkb:P07900	uniprotkb:P08238	physical association	reactome:R-HSA-9625170	24243840
